
Dataset: wisconsin():
======================
Number of graphs: 1
Number of features: 1703
Number of classes: 5

Data(x=[251, 1703], edge_index=[2, 515], y=[251], train_mask=[251, 10], val_mask=[251, 10], test_mask=[251, 10])
===========================================================================================================
Shape of the new adjacency matrix:  torch.Size([251, 251])
Number of nodes:  251
Number of edges:  515
Density:  0.0082
Maximum node degree:  122
Minimum node degree:  0
Average node degree:  2
Has isolated nodes: False
Has self-loops: True
Is undirected: False
===========================================================================================================
Device:  cuda:0
===========================================================================================================
Split:  0
===========================================================================================================
Epoch: 000, Loss: 3.1213, Train Acc: 0.1250, Val Acc: 0.6750, Test Acc: 0.6275
Epoch: 001, Loss: 2.8545, Train Acc: 0.6500, Val Acc: 0.6375, Test Acc: 0.5686
Epoch: 002, Loss: 2.3198, Train Acc: 0.7000, Val Acc: 0.7250, Test Acc: 0.6471
Epoch: 003, Loss: 1.9371, Train Acc: 0.7583, Val Acc: 0.7250, Test Acc: 0.6863
Epoch: 004, Loss: 1.7495, Train Acc: 0.8167, Val Acc: 0.7500, Test Acc: 0.7647
Epoch: 005, Loss: 1.5534, Train Acc: 0.9000, Val Acc: 0.7375, Test Acc: 0.7647
Epoch: 006, Loss: 1.4328, Train Acc: 0.9417, Val Acc: 0.8000, Test Acc: 0.7843
Epoch: 007, Loss: 1.3241, Train Acc: 0.9917, Val Acc: 0.8375, Test Acc: 0.8039
Epoch: 008, Loss: 1.2844, Train Acc: 0.9667, Val Acc: 0.8375, Test Acc: 0.8039
Epoch: 009, Loss: 1.2525, Train Acc: 0.9750, Val Acc: 0.8375, Test Acc: 0.8039
Epoch: 010, Loss: 1.2132, Train Acc: 0.9917, Val Acc: 0.8750, Test Acc: 0.8039
Epoch: 011, Loss: 1.1846, Train Acc: 0.9917, Val Acc: 0.8500, Test Acc: 0.8039
Epoch: 012, Loss: 1.1660, Train Acc: 0.9917, Val Acc: 0.8750, Test Acc: 0.8039
Epoch: 013, Loss: 1.1425, Train Acc: 0.9917, Val Acc: 0.8750, Test Acc: 0.8039
Epoch: 014, Loss: 1.1156, Train Acc: 0.9917, Val Acc: 0.8875, Test Acc: 0.8039
Epoch: 015, Loss: 1.1088, Train Acc: 0.9917, Val Acc: 0.8500, Test Acc: 0.8039
Epoch: 016, Loss: 1.0838, Train Acc: 1.0000, Val Acc: 0.8500, Test Acc: 0.7843
Epoch: 017, Loss: 1.0808, Train Acc: 0.9917, Val Acc: 0.8625, Test Acc: 0.8039
Epoch: 018, Loss: 1.0868, Train Acc: 0.9833, Val Acc: 0.8875, Test Acc: 0.8235
Epoch: 019, Loss: 1.0576, Train Acc: 1.0000, Val Acc: 0.8750, Test Acc: 0.8235
Epoch: 020, Loss: 1.0651, Train Acc: 0.9833, Val Acc: 0.8500, Test Acc: 0.8039
Epoch: 021, Loss: 1.0438, Train Acc: 0.9917, Val Acc: 0.8375, Test Acc: 0.8235
Epoch: 022, Loss: 1.0237, Train Acc: 1.0000, Val Acc: 0.8375, Test Acc: 0.8235
Epoch: 023, Loss: 1.0165, Train Acc: 1.0000, Val Acc: 0.8375, Test Acc: 0.8235
Epoch: 024, Loss: 1.0089, Train Acc: 1.0000, Val Acc: 0.8125, Test Acc: 0.8039
Epoch: 025, Loss: 1.0205, Train Acc: 0.9833, Val Acc: 0.8625, Test Acc: 0.8039
Epoch: 026, Loss: 0.9922, Train Acc: 1.0000, Val Acc: 0.8750, Test Acc: 0.8235
Epoch: 027, Loss: 0.9833, Train Acc: 1.0000, Val Acc: 0.8750, Test Acc: 0.7843
Epoch: 028, Loss: 0.9890, Train Acc: 0.9917, Val Acc: 0.8375, Test Acc: 0.8039
Epoch: 029, Loss: 0.9669, Train Acc: 1.0000, Val Acc: 0.8375, Test Acc: 0.8039
Epoch: 030, Loss: 0.9618, Train Acc: 1.0000, Val Acc: 0.8375, Test Acc: 0.8235
Epoch: 031, Loss: 0.9523, Train Acc: 1.0000, Val Acc: 0.8375, Test Acc: 0.7843
Epoch: 032, Loss: 0.9607, Train Acc: 0.9833, Val Acc: 0.8625, Test Acc: 0.8039
Epoch: 033, Loss: 0.9523, Train Acc: 0.9917, Val Acc: 0.8750, Test Acc: 0.8039
Epoch: 034, Loss: 0.9317, Train Acc: 1.0000, Val Acc: 0.8625, Test Acc: 0.8039
Epoch: 035, Loss: 0.9262, Train Acc: 1.0000, Val Acc: 0.8625, Test Acc: 0.8235
Epoch: 036, Loss: 0.9253, Train Acc: 1.0000, Val Acc: 0.8750, Test Acc: 0.7843
Epoch: 037, Loss: 0.9221, Train Acc: 0.9917, Val Acc: 0.8625, Test Acc: 0.8039
Epoch: 038, Loss: 0.9104, Train Acc: 1.0000, Val Acc: 0.8375, Test Acc: 0.8039
Epoch: 039, Loss: 0.9141, Train Acc: 0.9917, Val Acc: 0.8500, Test Acc: 0.8039
Epoch: 040, Loss: 0.9056, Train Acc: 1.0000, Val Acc: 0.8875, Test Acc: 0.8039
Epoch: 041, Loss: 0.8973, Train Acc: 1.0000, Val Acc: 0.8875, Test Acc: 0.7843
Epoch: 042, Loss: 0.8934, Train Acc: 1.0000, Val Acc: 0.8750, Test Acc: 0.8039
Epoch: 043, Loss: 0.9050, Train Acc: 0.9833, Val Acc: 0.8500, Test Acc: 0.7843
Epoch: 044, Loss: 0.8839, Train Acc: 1.0000, Val Acc: 0.8500, Test Acc: 0.8235
Epoch: 045, Loss: 0.8877, Train Acc: 0.9917, Val Acc: 0.9000, Test Acc: 0.8039
Epoch: 046, Loss: 0.8727, Train Acc: 1.0000, Val Acc: 0.9125, Test Acc: 0.7647
Epoch: 047, Loss: 0.8763, Train Acc: 1.0000, Val Acc: 0.8625, Test Acc: 0.7843
Epoch: 048, Loss: 0.8614, Train Acc: 1.0000, Val Acc: 0.8500, Test Acc: 0.7843
Epoch: 049, Loss: 0.8545, Train Acc: 1.0000, Val Acc: 0.8500, Test Acc: 0.8235
Epoch: 050, Loss: 0.8950, Train Acc: 0.9833, Val Acc: 0.8375, Test Acc: 0.7843
Epoch: 051, Loss: 0.8789, Train Acc: 0.9917, Val Acc: 0.8125, Test Acc: 0.6863
Epoch: 052, Loss: 0.9172, Train Acc: 0.9583, Val Acc: 0.8750, Test Acc: 0.7843
Epoch: 053, Loss: 0.8474, Train Acc: 1.0000, Val Acc: 0.8250, Test Acc: 0.8235
Epoch: 054, Loss: 0.8463, Train Acc: 1.0000, Val Acc: 0.8000, Test Acc: 0.8431
Epoch: 055, Loss: 0.8623, Train Acc: 0.9917, Val Acc: 0.8500, Test Acc: 0.8235
